Workers
Uniqe number = 4635571452, Work number 2, Does he have education? False, Full name Worker 50
Uniqe number = 5331825876, Work number 3, Does he have education? True, Full name Worker 51
Uniqe number = 4416242622, Work number 1, Does he have education? False, Full name Worker 52
Uniqe number = 6667124133, Work number 3, Does he have education? False, Full name Worker 53
Uniqe number = 3547668352, Work number 1, Does he have education? False, Full name Worker 54
Uniqe number = 7572124811, Work number 1, Does he have education? True, Full name Worker 55
Uniqe number = 1712442385, Work number 3, Does he have education? True, Full name Worker 56
Uniqe number = 6336472717, Work number 3, Does he have education? True, Full name Worker 57
Uniqe number = 3747872158, Work number 3, Does he have education? True, Full name Worker 58
Uniqe number = 4262413581, Work number 2, Does he have education? False, Full name Worker 59
Uniqe number = 4343148645, Work number 1, Does he have education? True, Full name Worker 60
Uniqe number = 2742437243, Work number 2, Does he have education? True, Full name Worker 61
Uniqe number = 6311657232, Work number 2, Does he have education? True, Full name Worker 62
Uniqe number = 2417163443, Work number 3, Does he have education? True, Full name Worker 63
Uniqe number = 5727834832, Work number 3, Does he have education? True, Full name Worker 64
Uniqe number = 4581511654, Work number 1, Does he have education? True, Full name Worker 65
Uniqe number = 3147321737, Work number 2, Does he have education? True, Full name Worker 66
Uniqe number = 3753225462, Work number 1, Does he have education? True, Full name Worker 67
Uniqe number = 1683738565, Work number 3, Does he have education? True, Full name Worker 68
Uniqe number = 7711175174, Work number 2, Does he have education? False, Full name Worker 69
Uniqe number = 2367467518, Work number 2, Does he have education? True, Full name Worker 70
Uniqe number = 1685562384, Work number 3, Does he have education? True, Full name Worker 71
Uniqe number = 6886481644, Work number 2, Does he have education? True, Full name Worker 72
Uniqe number = 7366757763, Work number 3, Does he have education? False, Full name Worker 73
Uniqe number = 3364367711, Work number 2, Does he have education? False, Full name Worker 74
Uniqe number = 8228133856, Work number 2, Does he have education? False, Full name Worker 75
Uniqe number = 6736611817, Work number 2, Does he have education? True, Full name Worker 76
Uniqe number = 2658747471, Work number 3, Does he have education? False, Full name Worker 77
Uniqe number = 2727885123, Work number 3, Does he have education? True, Full name Worker 78
Uniqe number = 2558868113, Work number 2, Does he have education? True, Full name Worker 79
Uniqe number = 5336176766, Work number 1, Does he have education? True, Full name Worker 80
Uniqe number = 8776185761, Work number 2, Does he have education? False, Full name Worker 81
Uniqe number = 6712574875, Work number 2, Does he have education? False, Full name Worker 82
Uniqe number = 5162524863, Work number 2, Does he have education? True, Full name Worker 83
Uniqe number = 6416776148, Work number 3, Does he have education? True, Full name Worker 84
Uniqe number = 7427735632, Work number 2, Does he have education? False, Full name Worker 85
Uniqe number = 3124277426, Work number 2, Does he have education? True, Full name Worker 86
Uniqe number = 3817422265, Work number 2, Does he have education? False, Full name Worker 87
Uniqe number = 6623154116, Work number 2, Does he have education? True, Full name Worker 88
Uniqe number = 2833127857, Work number 1, Does he have education? True, Full name Worker 89
Uniqe number = 3267553583, Work number 2, Does he have education? True, Full name Worker 90
Uniqe number = 6245562871, Work number 1, Does he have education? False, Full name Worker 91
Uniqe number = 1126133823, Work number 1, Does he have education? False, Full name Worker 92
Uniqe number = 2634368675, Work number 1, Does he have education? False, Full name Worker 93
Uniqe number = 3586246137, Work number 2, Does he have education? True, Full name Worker 94
Uniqe number = 2615635263, Work number 2, Does he have education? True, Full name Worker 95
Uniqe number = 3877652661, Work number 1, Does he have education? True, Full name Worker 96
Uniqe number = 3743113538, Work number 2, Does he have education? True, Full name Worker 97
Uniqe number = 8837837845, Work number 3, Does he have education? False, Full name Worker 98
Uniqe number = 6827584123, Work number 2, Does he have education? True, Full name Worker 99
Uniqe number = 1263211338, Work number 1, Does he have education? False, Full name Worker 100
Uniqe number = 2866227862, Work number 3, Does he have education? False, Full name Worker 101
Uniqe number = 4587742478, Work number 1, Does he have education? False, Full name Worker 102
Uniqe number = 4432651331, Work number 2, Does he have education? True, Full name Worker 103
Uniqe number = 8887887482, Work number 3, Does he have education? False, Full name Worker 104
Uniqe number = 4513734728, Work number 3, Does he have education? True, Full name Worker 105
Uniqe number = 5472215385, Work number 3, Does he have education? True, Full name Worker 106
Uniqe number = 5151414175, Work number 3, Does he have education? False, Full name Worker 107
Uniqe number = 4724521811, Work number 1, Does he have education? False, Full name Worker 108
Uniqe number = 4255253285, Work number 2, Does he have education? True, Full name Worker 109
Uniqe number = 3851721234, Work number 2, Does he have education? False, Full name Worker 110
Uniqe number = 2143156588, Work number 2, Does he have education? False, Full name Worker 111
Uniqe number = 6234256638, Work number 2, Does he have education? True, Full name Worker 112
Uniqe number = 7336451141, Work number 3, Does he have education? True, Full name Worker 113
Uniqe number = 1111444124, Work number 1, Does he have education? True, Full name Worker 114
Uniqe number = 5632125165, Work number 2, Does he have education? True, Full name Worker 115
Uniqe number = 7617374567, Work number 3, Does he have education? True, Full name Worker 116
